Title,Instructor,Status,Progress,Priority,Tags,
Angularjs for Beginners,Shivprasad Koirala,Not Started,,Low,"{'Angularjs', 'Beginners'}",
Ethical Hacker Certification course,Amit Huddar,Not Started,,Low,"{'Ethical', 'Certification', 'Course', 'Hacker'}",
JavaScript Element Catcher Game JavaScript Mini Project,Laurence Svekis,Not Started,,Low,"{'Project', 'Mini', 'JavaScript', 'Game'}",
Removing Background or Objects Using Photoshop,Moditha Damindu,Not Started,,Low,"{'Photoshop', 'Using', 'Objects', 'Background', 'Removing'}",
Resume-To-Go: Proven Structure Models to Upscale a Resume!,Dylan Moncus,Not Started,,Low,"{'Models', 'Structure', 'Upscale', 'Proven', 'Resume'}",
Mathematics Online Class: Complete Basic Mathematics Course,Letstute .... Make it Easy,Not Started,,Low,"{'Mathematics', 'Basic', 'Complete', 'Course', 'Online', 'Class'}",
Understanding Javascript from Very Basics to Core,Akhil Dakur,Not Started,,Low,"{'Basics', 'Understanding', 'JavaScript', 'Core'}",
How to Create a Website With Drag and drop!,Jarrod Field,Not Started,,Low,"{'Create', 'Drag', 'Drop', 'Website'}",
Master React & Redux,Frantz Kati,Not Started,,Low,"{'React', 'Master'}",
The Ultimate Guide to Savegames in Unity,Andreas Metz,Not Started,,Low,"{'Savegames', 'Guide', 'Ultimate', 'Unity'}",
Shopify Sales Funnels for eCommerce + Facebook Advertising,Cheryl A. Spencer - Top Instructor,Not Started,,Low,"{'Funnels', 'Facebook', 'Sales', 'Ecommerce', 'Shopify', 'Advertising'}",
Creating a 2D Side Scroller Game in Unity3D,Phaninder Malyala,Not Started,,Low,"{'Unity3d', 'Game', 'Scroller', 'Creating', 'Side'}",
Try Django 2.2 - Web Development with Python 3.6+,Justin Mitchel,Not Started,,High,"{'Python', 'Web Development', 'Development', 'Django'}",
Full Stack Web Development Masterclass: Beginner To Advanced,Ashutosh Pawar,Not Started,,Medium,"{'Advanced', 'Beginner', 'Stack', 'Full', 'Masterclass', 'Web Development', 'Development'}",
Learn Python Scripting - Scripting Masterclass,Mark Nielsen,Not Started,,High,"{'Python', 'Masterclass', 'Scripting', 'Learn'}",
Hypnosis - Learn 11 Hypnotic Phrases For Influence,Pradeep Aggarwal,Not Started,,Low,"{'Phrases', 'Hypnosis', 'Influence', 'Hypnotic', 'Learn'}",
Space Explorer-Photo Composite Photo Manipulation Photoshop,Harsh Vardhan Art,Not Started,,Low,"{'Composite', 'Photoshop', 'Space', 'Manipulation', 'Photo', 'Explorer'}",
"HTML, CSS, JavaScript - Landing Page with Modal Forms","Code And Create, George Lomidze, Lasha Nozadze",Not Started,,Low,"{'Forms', 'JavaScript', 'Page', 'Html', 'Landing'}",
WordPress and WooCommerce: Getting started,创意AI _,Not Started,,Low,"{'Wordpress', 'Getting', 'Started', 'Woocommerce'}",
Web Design Business Series Part 1 Your First Website,Henti Strydom,Not Started,,Low,"{'Part', 'First', 'Business', 'Series', 'Website', 'Design'}",
Python MTA 98-381 Exam | Complete Preparation Course + Tips,"Dr. Chris Mall • 40,000+ Students Worldwide",Not Started,,High,"{'Complete', 'Python', 'Course', 'Exam', 'Preparation', 'Tips'}",
Python GUI - Build a Calculator with PyQt and Qml,Daniel IT,Not Started,,High,"{'Python', 'Build'}",
Flutter Blog app Using Firestore Build ios & Android App,Yazdani Chowdhury,Not Started,,Low,"{'Using', 'Firestore', 'Flutter', 'Blog', 'Android', 'Build'}",
Combat Knife 3D Game Asset in Blender and Substance Painter,"Chris Plush, CG Masters",Not Started,,Low,"{'Asset', 'Substance', 'Game', 'Painter', 'Blender', 'Knife', 'Combat'}",
Character Modelling & Rigging  in Blender- Character Design,Riddick D. Character Blender Modelling,Not Started,,Low,"{'Modelling', 'Blender', 'Rigging', 'Design', 'Character'}",
Blender Asset Modeling Basics,Mark Masters,Not Started,,Low,"{'Modeling', 'Blender', 'Basics', 'Asset'}",
Cartoon Character Modeling In Blender,Danan Thilakanathan,Not Started,,Low,"{'Modeling', 'Blender', 'Character', 'Cartoon'}",
RESTful API with Ruby On Rails 5,Tran B. V. Son,Not Started,,Low,{'Ruby'},
"Learn Flutter, PHP PHP7 & JavaScript With jQuery, CSS & HTML",Bilal Zeyada,Not Started,,Low,"{'Flutter', 'JavaScript', 'Html', 'Learn', 'Jquery'}",
Angular 7 Course by Lior Avital -Become an Angular Expert,Lior Avital,Not Started,,Low,"{'Expert', 'Course', 'Avital', 'Lior', 'Become', 'Angular'}",
Create Your First FPS Survival Game With Unity Game Engine,Awesome Tuts,Not Started,,Low,"{'Survival', 'First', 'Engine', 'Game', 'Unity', 'Create'}",
Learn To Code Trading Card Game Battle System With Unity 3D,"Sandor Kiss, Vladimir Limarchenko",Not Started,,Low,"{'Code', 'System', 'Game', 'Card', 'Unity', 'Trading', 'Learn', 'Battle'}",
Laravel PHP: Introduction to Laravel for Absolute Beginners,Cogent Systems,Not Started,,Low,"{'Introduction', 'Laravel', 'Beginners', 'Absolute'}",
Adobe Spark : The Complete Guide To Adobe Spark,Maggie Osama,Not Started,,Low,"{'Adobe', 'Spark', 'Guide', 'Complete'}",
2D Game Development for Beginners in Python from scratch,Divyam Khare,Not Started,,High,"{'Scratch', 'Game', 'Python', 'Beginners', 'Development'}",
Android app development for beginners (with Kotlin),Behnam Khani,Not Started,,Low,"{'Beginners', 'Android', 'Development', 'Kotlin'}",
Android Programming From Scratch - For Beginners,Behnam Khani,Not Started,,Low,"{'Programming', 'Scratch', 'Beginners', 'Android'}",
"Make A Responsive Website Project #1: CSS, HTML & Javascript",Eric Tam,Not Started,,Low,"{'JavaScript', 'Project', 'Website', 'Html', 'Responsive', 'Make'}",
How to contribute to an Open Source Project,"Amrit Bains, Suhail Singh Bains",Not Started,,Low,"{'Project', 'Source', 'Open', 'Contribute'}",
Learn practical Python by examples and projects,Shakil khan,Not Started,,High,"{'Projects', 'Python', 'Examples', 'Practical', 'Learn'}",
Linux Command line Basics,Shakil khan,Not Started,,Low,"{'Line', 'Basics', 'Command', 'Linux'}",
Learn jQuery - For Beginners,YouAccel Training,Not Started,,Low,"{'Learn', 'Jquery', 'Beginners'}",
"Richard Stibbard's ""Ultimate Web Development Course""",Richard Stibbard,Not Started,,Medium,"{'Development', 'Web Development', 'Course', 'Ultimate'}",
Learn MySQL - For Beginners,YouAccel Training,Not Started,,Low,"{'Learn', 'Mysql', 'Beginners'}",
Learn JavaScript - For Beginners,YouAccel Training,Not Started,,Low,"{'Learn', 'Beginners', 'JavaScript'}",
Learn Python Language Fundamentals In Simple Way,DURGASOFT DURGA,Not Started,,High,"{'Simple', 'Fundamentals', 'Python', 'Language', 'Learn'}",
Bash Shell scripting and automation,Shakil khan,Not Started,,Low,"{'Bash', 'Shell', 'Scripting', 'Automation'}",
Develop my first sound game - (ASD Supported),Eran Gindi,Not Started,,Low,"{'First', 'Game', 'Develop', 'Sound', 'Supported'}",
Python Programming For Beginners From Scratch,Sander Van vugt,Not Started,,High,"{'Python', 'Scratch', 'Beginners', 'Programming'}",
Ultimate Autopilot Blogging with Wordpress | 2022,Hamza Mushtaq,Not Started,,Low,"{'Wordpress', 'Autopilot', 'Ultimate', '2022', 'Blogging'}",
C# Basics for Beginners: Introduction to Programming with C#,Victor Gorinov,Not Started,,Low,"{'Programming', 'Introduction', 'Beginners', 'Basics'}",
Complete Photoshop Course For Beginners,David Korp,Not Started,,Low,"{'Photoshop', 'Course', 'Beginners', 'Complete'}",
Angular 6 and Firebase 4 : Create a Instagram-like portal,Shreya Vakil,Not Started,,Low,"{'Like', 'Instagram', 'Firebase', 'Portal', 'Create', 'Angular'}",
"Learn JavaScript, Get Hired | The Essentials",David Joseph Katz,Not Started,,Low,"{'Learn', 'Essentials', 'Hired', 'JavaScript'}",
Learn AJAX with jQuery,Ian Schoonover,Not Started,,Low,"{'Learn', 'Jquery', 'Ajax'}",
Flutter & Dart Development For Building iOS and Android Apps,Frahaan Hussain,Not Started,,Low,"{'Dart', 'Development', 'Flutter', 'Building', 'Android', 'Apps'}",
WordPress Web Design and Advanced Theme Development,Abul Hossain,Not Started,,Low,"{'Advanced', 'Wordpress', 'Theme', 'Development', 'Design'}",
"Build World Class Websites like ""BBC. com"" with WordPress",Abul Hossain,Not Started,,Low,"{'Like', 'Wordpress', 'World', 'Websites', 'Class', 'Build'}",
Java masterclass with 100+ projects for absolute beginners,Sunrise Developers,Not Started,,Low,"{'Absolute', 'Projects', 'Masterclass', 'Beginners', 'Java'}",
Selenium WebDriver with Java: Learn from Scratch (2023),Kiran Singh,Not Started,,Low,"{'Scratch', 'Webdriver', 'Learn', 'Selenium', 'Java', '2023'}",
COMPLETE Java Programming Bundle,"Pranjal Srivastava, Harshit Srivastava",Not Started,,Low,"{'Programming', 'Java', 'Complete'}",
Learn to Code using C#,javier roman,Not Started,,Low,"{'Code', 'Using', 'Learn'}",
Learn Python in 250 Minutes,"Dr. Ryan Ahmed | 400K+ Students | Best-Selling Professor | 250K+ YouTube, Mitchell Bouchard, Stemplicity Inc.",Not Started,,High,"{'Python', 'Minutes', 'Learn'}",
Python 1000: The Python Primer,Mr. Nagy,Not Started,,High,{'Python'},
Elementor - Build an awesome Wordpress Website 2020,Michael V,Not Started,,Low,"{'Wordpress', 'Awesome', 'Website', 'Elementor', '2020', 'Build'}",
Photoshop CC: Studio Image Retouching with Dodge & Burn,Marcin Mikus,Not Started,,Low,"{'Photoshop', 'Studio', 'Burn', 'Image', 'Dodge', 'Retouching'}",
REAL World Website Hacking and Penetration (101% Practical),UpDegree Pro,Not Started,,Low,"{'Penetration', 'Real', 'World', 'Website', 'Hacking', 'Practical'}",
Build A Restaurant Site With Python and Django,Mahmoud Ahmed,Not Started,,High,"{'Restaurant', 'Django', 'Python', 'Site', 'Build'}",
Create your own Hulk Vol.1: Body Modeling,Mauricio García Arias,Not Started,,Low,"{'Modeling', 'Create', 'Body', 'Hulk'}",
Complete Apache Spark Course,"Zone Cotex, Leo Z",Not Started,,Low,"{'Spark', 'Course', 'Apache', 'Complete'}",
"Learn website development using HTML, CSS, JavaScript & PHP",Tanzeel Ur Rehman,Not Started,,Low,"{'JavaScript', 'Website', 'Using', 'Html', 'Development', 'Learn'}",
Learn Complete Web Developer Course for Beginners to Expert,Sectance Solutions,Not Started,,Low,"{'Complete', 'Expert', 'Course', 'Beginners', 'Learn', 'Developer'}",
Learn basics of Redux in React Native in 2 hours!,Stefan Hyltoft,Not Started,,Low,"{'React', 'Learn', 'Hours', 'Basics'}",
Complete jQuery Course: Learn jQuery Programming from A-Z,Damjan L - jQuery Programming,Not Started,,Low,"{'Complete', 'Course', 'Programming', 'Learn', 'Jquery'}",
Build a Pet Hotel web app with React using ScaffoldHub,Felipe Lima,Not Started,,Low,"{'React', 'Using', 'Build'}",
WordPress Blogging: How I Make Easy 4 Figure Passive Income,My First Cent .,Not Started,,Low,"{'Wordpress', 'Easy', 'Passive', 'Figure', 'Blogging', 'Income', 'Make'}",
From Concept to Game: Creating Stunning Asset in Blender 3D,Peter Blender 3D Modeling Company,Not Started,,Low,"{'Asset', 'Concept', 'Game', 'Blender', 'Stunning', 'Creating'}",
"React.js, quick start",Dina Esmaeili,Not Started,,Low,"{'React', 'Start', 'Quick'}",
Shopify Dropshipping - Scale to 7 figures with Clickfunnels!,Cheryl A. Spencer - Top Instructor,Not Started,,Low,"{'Dropshipping', 'Scale', 'Clickfunnels', 'Shopify', 'Figures'}",
Build a Stunning Website With Wordpress Offline,Okaro Jideofor chukwuma,Not Started,,Low,"{'Wordpress', 'Offline', 'Website', 'Stunning', 'Build'}",
Learn how to draw anime with the Rogue Mangaka Method,2D Animation 101 Courses,Not Started,,Low,"{'Method', 'Draw', 'Anime', 'Rogue', 'Learn', 'Mangaka'}",
PHP: Ultimate guide to PHP for everyone,Ankit Shrivastava,Not Started,,Low,"{'Guide', 'Everyone', 'Ultimate'}",
Understanding NPM - Node.js Package Manager,"Bogdan Stashchuk | 300K Students Worldwide | MBA, PhD",Not Started,,Low,"{'Understanding', 'Package', 'Manager', 'Node', 'Node.js'}",
"SolidWorks 2019: Automobile System Design, Deep learning A-Z",Fnini SEF,Not Started,,Low,"{'System', 'Deep', 'Learning', 'Solidworks', '2019', 'Design', 'Automobile'}",
Turn your skill into a sustainable business on Auto - mode,Kapil Chopra I Business Plan Strategist I Digital Marketing I Growth Hacking,Not Started,,Low,"{'Sustainable', 'Business', 'Turn', 'Mode', 'Auto', 'Skill'}",
The Ultimate WordPress for Beginners Step-by-Step Blueprint,Juan E. Galvan,Not Started,,Low,"{'Wordpress', 'Beginners', 'Ultimate', 'Step', 'Blueprint'}",
Woocommerce Mastery Create a Professional Dropshipping Store,Gvidas Maskoliunas,Not Started,,Low,"{'Professional', 'Dropshipping', 'Mastery', 'Create', 'Woocommerce', 'Store'}",
The complete front-End series with  frameworks and projects,Shehzad Arain,Not Started,,Low,"{'Front', 'Complete', 'Projects', 'Series', 'Frameworks'}",
The Complete Bootstrap Masterclass Course - Build 4 Projects,"Joe Parys, Shahzaib Kamal, Joe Parys Support",Not Started,,Low,"{'Bootstrap', 'Complete', 'Projects', 'Masterclass', 'Course', 'Build'}",
The Ultimate GIMP2.10 Guide ► Please read my Instructor bio!,Bernard 't Hooft,Not Started,,Low,"{'Instructor', 'Please', 'Ultimate', 'Read', 'Gimp2', 'Guide'}",
"Your complete guide to Agile, Scrum, Kanban",Nextgen Academy,Not Started,,Low,"{'Kanban', 'Complete', 'Agile', 'Guide', 'Scrum'}",
The Complete Html Course for Beginner,Ercan Ayhan,Not Started,,Low,"{'Beginner', 'Html', 'Course', 'Complete'}",
Single page app with pure .net core 3.0,Taurius Litvinavicius,Not Started,,Low,"{'Page', 'Single', 'Pure', 'Core'}",
Material for Angular 6 - UI UX Ivy League Instructor,GP Shangari,Not Started,,Low,"{'Instructor', 'League', 'Material', 'Angular'}",
Web Development - Complete Fast Track Course,Ruben Giuliani,Not Started,,Medium,"{'Fast', 'Complete', 'Web Development', 'Course', 'Track', 'Development'}",
Learn React JS and Web API by creating a Full Stack Web App,Vinay Kumar,Not Started,,Low,"{'Stack', 'React', 'Full', 'Creating', 'Learn'}",
Learn Affiliate Marketing from A-Z: Beginner To Expert,Juan E. Galvan,Not Started,,Low,"{'Beginner', 'Expert', 'Marketing', 'Affiliate', 'Learn'}",
Mobile App development for beginners  -  Android and Apple,Bluelime Learning Solutions,Not Started,,Low,"{'Mobile', 'Beginners', 'Apple', 'Development', 'Android'}",
The Art of the Portrait - Drawing For Beginners,Chris Petrocchi,Not Started,,Low,"{'Portrait', 'Beginners', 'Drawing'}",
SQL Beginner to Guru: MySQL Edition - Master SQL with MySQL,"John Thompson • 500,000+ Enrollments Worldwide, Spring Ahead Code Academy",Not Started,,Low,"{'Beginner', 'Master', 'Mysql', 'SQL', 'Edition'}",
Python For Beginners,Vinoth QA Academy,Not Started,,High,"{'Python', 'Beginners'}",
Learning the Russian language,Eugenia Kras,Not Started,,Low,"{'Russian', 'Learning', 'Language'}",
How To Make A Digital Download Website With WordPress,Darrel Wilson,Not Started,,Low,"{'Wordpress', 'Digital', 'Website', 'Download', 'Make'}",
Unity: 2D Game Development,Chris Tutorials,Not Started,,Low,"{'Unity', 'Development', 'Game'}",
Git- Novice to Expert,Pradeep Kumar,Not Started,,Low,"{'Novice', 'Expert'}",
Create Your Own Wordpess Website To Sell Courses,Michael V,Not Started,,Low,"{'Courses', 'Website', 'Sell', 'Wordpess', 'Create'}",
JavaScript Programming from A-Z: Learn to Code in JavaScript,Euan - JavaScript Programming,Not Started,,Low,"{'Code', 'Programming', 'JavaScript', 'Learn'}",
How To Make a Booking Website With WordPress,Darrel Wilson,Not Started,,Low,"{'Wordpress', 'Make', 'Website', 'Booking'}",
How To Make A Membership Website With WordPress,Darrel Wilson,Not Started,,Low,"{'Wordpress', 'Make', 'Membership', 'Website'}",
Linux command lines and administration in 2 days,Alaa Jalboush,Not Started,,Low,"{'Administration', 'Linux', 'Days', 'Lines', 'Command'}",
How To Build Muscle & Lose Fat Effectively,Bradley Ford,Not Started,,Low,"{'Effectively', 'Muscle', 'Lose', 'Build'}",
Kotlin in Action - Kotlin Programming for Absolute Beginners,Morteza Kordi,Not Started,,Low,"{'Absolute', 'Beginners', 'Action', 'Programming', 'Kotlin'}",
C - Fast Crash Course -  Introduction,"Edwin Diaz | 900,000+ Students",Not Started,,Low,"{'Crash', 'Introduction', 'Course', 'Fast'}",
How To Make A Social Media Website With WordPress,Darrel Wilson,Not Started,,Low,"{'Wordpress', 'Website', 'Media', 'Make', 'Social'}",
Learn Swift Series (2019),Chris Ching,Not Started,,Low,"{'Learn', 'Series', '2019', 'Swift'}",
eBay Dropshipping (The Smart Way) - Condensed,Luke Profits,Not Started,,Low,"{'Condensed', 'Dropshipping', 'Smart', 'Ebay'}",
Coding for Beginners: Using Ruby Programming language,Bluelime Learning Solutions,Not Started,,Low,"{'Coding', 'Beginners', 'Language', 'Using', 'Ruby', 'Programming'}",
Complete eBay Drop Shipping Guide: Ultimate Arbitrage Course,Marcus Pereira,Not Started,,Low,"{'Arbitrage', 'Drop', 'Shipping', 'Complete', 'Course', 'Ultimate', 'Ebay', 'Guide'}",
Blender 2.79 Illustration . Easy Modeling for Beginners,Hector Carrasquilla,Not Started,,Low,"{'Easy', 'Modeling', 'Illustration', 'Blender', 'Beginners'}",
2024 Amazon FBA Private Label Playbook - Ultimate Roadmap,Pete Coulis,Not Started,,Low,"{'Amazon', '2024', 'Ultimate', 'Roadmap', 'Label', 'Private', 'Playbook'}",
Road To Financial Freedom - Dropshipping Masterclass,S L,Not Started,,Low,"{'Dropshipping', 'Financial', 'Masterclass', 'Freedom', 'Road'}",
Easily Build Amazon Affiliate Niche Website E Stores,Rajat Gupta,Not Started,,Low,"{'Amazon', 'Niche', 'Easily', 'Affiliate', 'Website', 'Stores', 'Build'}",
How to Start an Amazon FBA Store on a Tight Budget,Theo McArthur,Not Started,,Low,"{'Amazon', 'Tight', 'Start', 'Budget', 'Store'}",
Build a Dropshipping Empire From Scratch [Proven Blueprint],Theo McArthur,Not Started,,Low,"{'Dropshipping', 'Empire', 'Scratch', 'Proven', 'Blueprint', 'Build'}",
The Complete Shopify Dropshipping Course,Tim Sharp,Not Started,,Low,"{'Shopify', 'Dropshipping', 'Course', 'Complete'}",
How To Easily Create Highly Profitable Sales Funnels,Juan E. Galvan,Not Started,,Low,"{'Funnels', 'Easily', 'Sales', 'Profitable', 'Highly', 'Create'}",
How to find a profitable niche (in under 1 hour),Tim Sharp,Not Started,,Low,"{'Find', 'Niche', 'Hour', 'Profitable'}",
How to Create a Digital Marketing Plan for My Website,Jonathan Osorio,Not Started,,Low,"{'Digital', 'Marketing', 'Website', 'Plan', 'Create'}",
Learn To Draw Sunsets with Pastel Pencils,Colin Bradley School of Art,Not Started,,Low,"{'Pencils', 'Pastel', 'Draw', 'Sunsets', 'Learn'}",
Unity Game Development: Create A 3D Beat Em Up Game,Awesome Tuts,Not Started,,Low,"{'Game', 'Unity', 'Development', 'Create', 'Beat'}",
UNITY: 10 Games| Fractal| Meshes| Rendering| Noise| Voxel,EDUCBA Bridging the Gap,Not Started,,Low,"{'Fractal', 'Rendering', 'Noise', 'Unity', 'Meshes', 'Voxel', 'Games'}",
Level Up Your CSS Animation Skills,Donovan Hutchinson,Not Started,,Low,"{'Level', 'Skills', 'Animation'}",
Build a highly converting Shopify store | complete guide,"PageFly Team, Julian Foulds",Not Started,,Low,"{'Complete', 'Converting', 'Highly', 'Shopify', 'Guide', 'Build', 'Store'}",
Shopify Upselling & Cross-Selling Masterclass for 2021,Joshua Zitting,Not Started,,Low,"{'Cross', 'Upselling', 'Masterclass', 'Selling', 'Shopify', '2021'}",
Start a Web Design Business Step by Step Masterclass,Juan E. Galvan,Not Started,,Low,"{'Business', 'Masterclass', 'Step', 'Design', 'Start'}",
The 6 Figure Freelancer - Freelancing Domination on Upwork,Mike Volkin,Not Started,,Low,"{'Domination', 'Freelancing', 'Figure', 'Freelancer', 'Upwork'}",
Set up  a React App using Wepack from Scratch,Amazing Tutorials,Not Started,,Low,"{'React', 'Using', 'Scratch'}",
CSS Master Course: For Beginners,Jesse Caine,Not Started,,Low,"{'Master', 'Course', 'Beginners'}",
Vehicle Modeling in Houdini 16.5 - SciFi Dropship,Indie - Pixel,Not Started,,Low,"{'Dropship', 'Modeling', 'Vehicle', 'Scifi', 'Houdini'}",
Raspberry Pi Workshop 2018 Become a Coder / Maker / Inventor,Core Electronics,Not Started,,Low,"{'Workshop', 'Maker', 'Coder', 'Raspberry', '2018', 'Become', 'Inventor'}",
How to Start & Grow a Fiverr Freelance Business Step-By-Step,Yaswanth Nukasani,Not Started,,Low,"{'Fiverr', 'Business', 'Freelance', 'Step', 'Grow', 'Start'}",
Learn to Code with Python 3,Joseph Delgadillo,Not Started,,High,"{'Code', 'Python', 'Learn'}",
Web Development In 2020,Erduite Learners,Not Started,,Medium,"{'Web Development', '2020', 'Development'}",
The Essential Android O Developer Course (Java),Jason Fedin,Not Started,,Low,"{'Java', 'Course', 'Essential', 'Android', 'Developer'}",
ClickBank Affiliate Marketing Secrets Home Business Success,"Liaqat Eagle, Liaqat Ali",Not Started,,Low,"{'Secrets', 'Business', 'Success', 'Marketing', 'Affiliate', 'Home', 'Clickbank'}",
ClickBank- How To Make Money From Home With ClickBank,S. Arora,Not Started,,Low,"{'Make', 'Clickbank', 'Home', 'Money'}",
iOS12 Bootcamp from Beginner to Professional iOS Developer,David Kababyan,Not Started,,Low,"{'Professional', 'Beginner', 'Bootcamp', 'Ios12', 'Developer'}",
JavaScript: Coding Challenge Bootcamp,Md. A. Barik,Not Started,,Low,"{'Challenge', 'Coding', 'JavaScript', 'Bootcamp'}",
Learn Angular 8 & Web API by creating a Full Stack Web App,Vinay Kumar,Not Started,,Low,"{'Stack', 'Full', 'Creating', 'Learn', 'Angular'}",
Python For Beginners - Learn Python Completely From Scratch,Robin Haney,Not Started,,High,"{'Python', 'Scratch', 'Beginners', 'Learn'}",
Learn how to create a WordPress theme using Pinegrow,ARNOUD Emmanuel,Not Started,,Low,"{'Wordpress', 'Using', 'Pinegrow', 'Theme', 'Learn', 'Create'}",
Professional Logo Design in Adobe Illustrator,Rawson Uddin,Not Started,,Low,"{'Professional', 'Adobe', 'Logo', 'Design', 'Illustrator'}",
Learn C++ Programming Mini Course - Power of Animation,Miltiadis Saratzidis,Not Started,,Low,"{'Course', 'Power', 'Mini', 'Programming', 'Animation', 'Learn'}",
Learn Cinema 4D: Low Poly Tree,Jonathan Lam,Not Started,,Low,"{'Learn', 'Tree', 'Cinema', 'Poly'}",
Node.js & Hapi.js: Building Enterprise Web Apps,Jeff Taylor,Not Started,,Low,"{'Node.js', 'Building', 'Node', 'Apps'}",
Modern JavaScript 2019,Coding Bootcamp,Not Started,,Low,"{'2019', 'Modern', 'JavaScript'}",
The Ultimate Python Course - Learn From Scratch,ABD Muhammad,Not Started,,High,"{'Scratch', 'Python', 'Course', 'Ultimate', 'Learn'}",
"Make A Responsive Website Project #2: HTML, CSS & Javascript",Eric Tam,Not Started,,Low,"{'JavaScript', 'Project', 'Website', 'Html', 'Responsive', 'Make'}",
Complete Python Bootcamp - Beginner To Advanced,ABD Muhammad,Not Started,,High,"{'Advanced', 'Beginner', 'Bootcamp', 'Complete', 'Python'}",
SASS Front to Back,Christopher Hawkes,Not Started,,Low,"{'Back', 'Front', 'Sass'}",
WP Plugin Development - Build your own plugin!,"Stefan Haberl, Daniel Angeloff, Sandor Kiss",Not Started,,Low,"{'Plugin', 'Development', 'Build'}",
how to uv unwrap models in blender,dean walcott,Not Started,,Low,"{'Unwrap', 'Models', 'Blender'}",
Learn Java Step by Step for Test Automation from ground-up.,Test Automation CO,Not Started,,Low,"{'Test', 'Step', 'Learn', 'Java', 'Automation'}",
The Guitar Boot Camp : The Complete Guitar Guide - Beginners,The Guitar Bootcamp,Not Started,,Low,"{'Camp', 'Complete', 'Boot', 'Beginners', 'Guitar', 'Guide'}",
Introduction to Python Functions for beginners,Bluelime Learning Solutions,Not Started,,High,"{'Python', 'Introduction', 'Functions', 'Beginners'}",
Python MySql From Scratch,Mahmoud Ahmed,Not Started,,High,"{'Python', 'Scratch', 'Mysql'}",
The Essential Web Developer Course - Build 12 Websites,Robert Kanaat,Not Started,,Low,"{'Course', 'Essential', 'Websites', 'Developer', 'Build'}",
Learn How to Make Trading Card Game Menus With Unity 3D,"Sandor Kiss, Vladimir Limarchenko",Not Started,,Low,"{'Game', 'Menus', 'Card', 'Unity', 'Trading', 'Learn', 'Make'}",
Digital Painting Series Ep0. Dragon Bust,Austin Batchelor,Not Started,,Low,"{'Digital', 'Series', 'Bust', 'Painting', 'Dragon'}",
Learn Inkscape : Design Logos and Game Arts,Swapnil Rane,Not Started,,Low,"{'Logos', 'Game', 'Arts', 'Inkscape', 'Design', 'Learn'}",
Color Theory Basics: Learning Color Theory With Adobe Color,Phillip Dillow,Not Started,,Low,"{'Learning', 'Basics', 'Adobe', 'Theory', 'Color'}",
Affinity Photo: Official Beginner's Guide,Mr.G .,Not Started,,Low,"{'Beginner', 'Official', 'Photo', 'Affinity', 'Guide'}",
Photoshop Basics: For Beginners,Mandi's Photoshop Work,Not Started,,Low,"{'Photoshop', 'Beginners', 'Basics'}",
Build an Online Logo Portfolio in Adobe Portfolio,Daniel Evans,Not Started,,Low,"{'Portfolio', 'Adobe', 'Online', 'Logo', 'Build'}",
3D Animation Film-Making with Plotagon,Srinidhi Ranganathan,Not Started,,Low,"{'Plotagon', 'Making', 'Animation', 'Film'}",
Learn PHP From Scratch,Masud Rana,Not Started,,Low,"{'Learn', 'Scratch'}",
Becoming a Zsh (Oh My Zsh) Power User,Karl Hadwen,Not Started,,Low,"{'User', 'Power', 'Becoming'}",
Create Amazing Photoshop Projects and Learn Essentials,Farid Shukurov,Not Started,,Low,"{'Photoshop', 'Essentials', 'Projects', 'Learn', 'Create', 'Amazing'}",
Intro to Linux Shell Scripting (Free course),Jason Cannon,Not Started,,Low,"{'Course', 'Linux', 'Intro', 'Free', 'Shell', 'Scripting'}",
Introduction to Python Control Flow Statements,Bluelime Learning Solutions,Not Started,,High,"{'Python', 'Introduction', 'Control'}",
Design A Complete Responsive Business Website From Scratch,Godson Thomas,Not Started,,Low,"{'Scratch', 'Complete', 'Business', 'Website', 'Responsive', 'Design'}",
iOS 12 Chat Application like WhatsApp and Viber,David Kababyan,Not Started,,Low,"{'Chat', 'Like', 'Application', 'Whatsapp', 'Viber'}",
"Build Interactive Apps using VueJS, Vuex and VueRouter",eTech School,Not Started,,Low,"{'Vuex', 'Vuejs', 'Vuerouter', 'Using', 'Interactive', 'Build', 'Apps'}",
The Complete jQuery Course: Build Real World Projects!,Md. A. Barik,Not Started,,Low,"{'Real', 'Complete', 'Projects', 'World', 'Course', 'Jquery', 'Build'}",
Complete JavaScript Course: Go From Beginner To Advanced,ABD Muhammad,Not Started,,Low,"{'Advanced', 'Beginner', 'JavaScript', 'Complete', 'Course'}",
Beginner's Guide To Creating Basic Logos With Free Software,Phillip Dillow,Not Started,,Low,"{'Logos', 'Beginner', 'Software', 'Basic', 'Creating', 'Free', 'Guide'}",
"Create a Members Only Blog using PHP, MySQL, & AJAX",YouAccel Training,Not Started,,Low,"{'Mysql', 'Using', 'Members', 'Ajax', 'Create', 'Blog'}",
Basics Of Flat Design Illustrations In Canva,Phillip Dillow,Not Started,,Low,"{'Basics', 'Illustrations', 'Design', 'Canva', 'Flat'}",
Introduction To Graphic Design,Anthony Isaac,Not Started,,Low,"{'Design', 'Introduction', 'Graphic'}",
How to Design an Awesome Letterhead in Adobe Illustrator,Daniel Evans,Not Started,,Low,"{'Adobe', 'Awesome', 'Design', 'Letterhead', 'Illustrator'}",
