Title,Instructor,Status,Progress,Priority,Tags,
Python Game Development : Creating a Snake Game from scratch,RR LL,Not Started,,High,"{'Scratch', 'Game', 'Python', 'Creating', 'Development'}",
Complete Bootstrap 4 course - build 3 projects,Igneus Technologies,Not Started,,Low,"{'Bootstrap', 'Complete', 'Projects', 'Course', 'Build'}",
Learn Swift Programming for Beginners (Updated 2017),Chris Ching,Not Started,,Low,"{'Beginners', '2017', 'Swift', 'Programming', 'Updated', 'Learn'}",
Learn Bootstrap 4 by Example,Gary Simon,Not Started,,Low,"{'Learn', 'Bootstrap', 'Example'}",
Code Your First Game: Arcade Classic in JavaScript on Canvas,Chris DeLeon,Not Started,,Low,"{'Code', 'First', 'JavaScript', 'Game'}",
Sass Workflow,Lawrence Turton,Not Started,,Low,"{'Workflow', 'Sass'}",
In 11 Minutes: Basics in Framer - A Design Tool,Robert Mion,Not Started,,Low,"{'Basics', 'Minutes', 'Design', 'Tool', 'Framer'}",
Introduction to Laravel 4,Cristian Gradisteanu,Not Started,,Low,"{'Introduction', 'Laravel'}",
Design Infographics and GUI kits for beginners,Jestoni Esteban,Not Started,,Low,"{'Design', 'Kits', 'Infographics', 'Beginners'}",
ExpressJS Fundamentals,Patrick Schroeder,Not Started,,Low,"{'Fundamentals', 'Expressjs'}",
Business Card design with Photoshop CC - for beginners,Syed Rahman,Not Started,,Low,"{'Photoshop', 'Business', 'Card', 'Beginners', 'Design'}",
Affinity Designer: A Comprehensive Guide for Beginners,Jestoni Esteban,Not Started,,Low,"{'Beginners', 'Comprehensive', 'Affinity', 'Designer', 'Guide'}",
Complete C# Unity Game Developer 2D,"GameDev.tv Team, Rick Davidson, Gary Pettie",Not Started,,Low,"{'Game', 'Unity', 'Developer', 'Complete'}",
Creating 3D environments in Blender,"Rob Tuytel, CG Obaid (Obaidur Rahman)",Not Started,,Low,"{'Environments', 'Creating', 'Blender'}",
Complete Blender Creator: Learn 3D Modelling for Beginners,"GameDev.tv Team, Rick Davidson, Grant Abbitt",Not Started,,Low,"{'Creator', 'Modelling', 'Complete', 'Blender', 'Beginners', 'Learn'}",
Python for Absolute Beginners,Green Chameleon Learning,Not Started,,High,"{'Python', 'Beginners', 'Absolute'}",
Programming with Python : HandsOn Introduction for Beginners,Febin George,Not Started,,High,"{'Python', 'Introduction', 'Beginners', 'Programming'}",
Python for Absolute Beginners!,"Joseph Delgadillo, Nick Germaine",Not Started,,High,"{'Python', 'Beginners', 'Absolute'}",
Create a Character in Blender3D - Vol.1 Modeling,Lee Salvemini,Not Started,,Low,"{'Modeling', 'Create', 'Blender3d', 'Character'}",
Create a Character in Blender3D - Vol.2 Rigging,Lee Salvemini,Not Started,,Low,"{'Rigging', 'Create', 'Blender3d', 'Character'}",
Cinema 4D - High quality furniture modeling,Zelimir Prgic,Not Started,,Low,"{'Quality', 'Modeling', 'Cinema', 'Furniture', 'High'}",
C in Depth: The Complete C Programming Guide for Beginners,TELCOMA Global,Not Started,,Low,"{'Complete', 'Beginners', 'Depth', 'Programming', 'Guide'}",
Build a Wordpress Logo Portfolio Website in 1 Hour,Daniel Evans,Not Started,,Low,"{'Portfolio', 'Wordpress', 'Hour', 'Website', 'Logo', 'Build'}",
Self-Esteem Masterclass: Learn to Love Yourself,Leon Chaudhari,Not Started,,Low,"{'Love', 'Masterclass', 'Esteem', 'Self', 'Learn'}",
Complete Mastery to Python Basics - From Scratch (Python+™),Osama Ajmal,Not Started,,High,"{'Scratch', 'Basics', 'Complete', 'Python', 'Mastery'}",
Learn C programming from scratch and become expert in C,Ankit Shrivastava,Not Started,,Low,"{'Scratch', 'Expert', 'Become', 'Programming', 'Learn'}",
DevOps Tutorial: Complete Beginners Training - 5 in 1 Bundle,Up Degree,Not Started,,Low,"{'Complete', 'Training', 'Beginners', 'Tutorial', 'DevOps'}",
The Ultimate Guide to Selling on Amazon FBA,FBA Kingdom,Not Started,,Low,"{'Selling', 'Guide', 'Amazon', 'Ultimate'}",
The Complete 2020 Fullstack Web Developer Course,Kalob Taulien,Not Started,,Low,"{'Complete', 'Course', 'Fullstack', '2020', 'Developer'}",
"Beginner Full Stack Web Development: HTML, CSS, React & Node","Mark Price, Devslopes by Nathan Sevedge",Not Started,,Medium,"{'Beginner', 'Stack', 'React', 'Full', 'Web Development', 'Html', 'Development', 'Node'}",
Introduction to Bash - a Linux Command Line Tutorial,Stelios Mathioulakis,Not Started,,Low,"{'Line', 'Bash', 'Introduction', 'Linux', 'Tutorial', 'Command'}",
JavaScript in Action JavaScript Projects,Laurence Svekis,Not Started,,Low,"{'Projects', 'Action', 'JavaScript'}",
Web Design Responsive Website Template from Scratch HTML CSS,Laurence Svekis,Not Started,,Low,"{'Scratch', 'Template', 'Website', 'Html', 'Responsive', 'Design'}",
Self-Publishing: Beginner to Advanced - The Complete Course,Ian Stables,Not Started,,Low,"{'Advanced', 'Beginner', 'Complete', 'Publishing', 'Course', 'Self'}",
Create Professional Book Covers That Sell - For Free,Ian Stables,Not Started,,Low,"{'Professional', 'Sell', 'Covers', 'Free', 'Create', 'Book'}",
The Book Marketing System That Never Fails,Ian Stables,Not Started,,Low,"{'System', 'Marketing', 'Never', 'Fails', 'Book'}",
The Formula That Creates Irresistible Nonfiction Book Titles,Ian Stables,Not Started,,Low,"{'Formula', 'Creates', 'Nonfiction', 'Titles', 'Irresistible', 'Book'}",
Learn Maya - Character Head Modeling for Beginners,Nalini Kanta Jena,Not Started,,Low,"{'Head', 'Modeling', 'Beginners', 'Maya', 'Learn', 'Character'}",
Ruby on Rails a Beginners Guide ,Stephen Chesnowitz,Not Started,,Low,"{'Ruby', 'Guide', 'Beginners'}",
Complete Web Developer Course HTML CSS JavaScript PHP jQuery,Laurence Svekis,Not Started,,Low,"{'JavaScript', 'Complete', 'Course', 'Html', 'Jquery', 'Developer'}",
Interactive Dynamic JavaScript for beginners DOM,Laurence Svekis,Not Started,,Low,"{'Dynamic', 'Beginners', 'JavaScript', 'Interactive'}",
Bootstrap (no coding) Build Bootstrap Websites the Easy Way!,Jamie Henry,Not Started,,Low,"{'Bootstrap', 'Coding', 'Easy', 'Websites', 'Build'}",
Getting started with JavaScript,Laurence Svekis,Not Started,,Low,"{'Getting', 'Started', 'JavaScript'}",
MongooseJS Essentials - Learn MongoDB for Node.js,Patrick Schroeder,Not Started,,Low,"{'Essentials', 'Mongodb', 'Node', 'Node.js', 'Learn'}",
Logo Design Process and Design in Illustrator,Lindsay Marsh,Not Started,,Low,"{'Design', 'Logo', 'Process', 'Illustrator'}",
Learn Programming in Python With the Power of Animation,Miltiadis Saratzidis,Not Started,,High,"{'Python', 'Power', 'Programming', 'Learn', 'Animation'}",
Learn C# By Building Applications,Programming Resources,Not Started,,Low,"{'Applications', 'Learn', 'Building'}",
How To Get a Web Domain and Unlimited Hosting for Free,Irakli iakobishvili,Not Started,,Low,"{'Domain', 'Free', 'Unlimited', 'Hosting'}",
PYTHON - A to Z Full Course for Beginners,"Joydip Ghosh, Arjun Reddy",Not Started,,Low,"{'Full', 'Python', 'Course', 'Beginners'}",
Advanced Particle VFX in Unity and After Effects,Timothy Trankle,Not Started,,Low,"{'Advanced', 'Particle', 'Effects', 'Unity'}",
The HTML And CSS Bootcamp,Suspendee Studios,Not Started,,Low,"{'Html', 'Bootcamp'}",
Complete FrontEnd Web Development and Design HTML CSS JS,Laurence Svekis,Not Started,,Medium,"{'Complete', 'Web Development', 'Html', 'Development', 'Design'}",
How to Design Website Pages in 1 hour with Photoshop,"Augmented Startups, Hamdy Mostafa",Not Started,,Low,"{'Photoshop', 'Pages', 'Hour', 'Website', 'Design'}",
Project Management For Freelance Web Developers,Paul Amissah,Not Started,,Low,"{'Project', 'Management', 'Developers', 'Freelance'}",
